"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Run","Run on the beach","1","","2017-01-01","","10427.3603515625","","","","","1.04715833875868","2.76600003242493","","75","","141","156","","","0.769604564200213","68.77","43","18","1","0","0","0","0","","","","","","","","","","","","","","",""
"","Day Off","Relax","","","2017-01-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Relax","","","2017-01-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Run with Jackson","0.583333333333333","","2017-01-04","","7242.05024051654","","","","","0.6","3.35280103727617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Relax","","","2017-01-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","MTB with Kathy and Josh","1","","2017-01-06","","13378.5400390625","","","","","1.00278998480903","3.70600008964539","","","","125","159","","","0.62310639838635","43.13","15","38","7","0","0","","","","","","","","","","","","","","","","",""
"80': 2x5' LT + 2x(1' AeC/AnC) + 2x5' LT","Bike","We are going to grind out some threshold efforts, take a break, go above threshold, take a break, and then finish it off back at threshold. It'll be interesting to see if you can mentally and physically hold it and potentially finish stronger! You select the cadence today. . 10' WU . 5' low tempo->low LT + 5' easy . 2 x (5' LT + 3' easy) 4' AeT . Repeat Two times... 1' AeC + 2' easy 1' AnC + 2' easy 4' AeT . 2 x (5' LT + 3' easy) 4' CD","1.33333333333333","","2017-01-07","","0","194","257","701.801","","1.00307637532552","0","","91","","134","153","","","0.708376108145007","50.18","3","51","6","0","0","","","","","","1","53","6","0","0","0","","","","","",""
"","Day Off","Relax","","","2017-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Relax","","","2017-01-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Ride outside somewhere","1.75","","2017-01-10","","33750.01953125","","","","","1.75916191948785","5.3289999961853","","","","138","163","","","0.666038633772195","87.68","3","58","43","1","0","","","","","","","","","","","","","","","","",""
