"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Bike","New Years Day MTB @ Fountainhead","2","","2015-01-01","","20698.89","","","","","1.97115277777778","2.72389656533754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","4 x Athlete video analysis","0.333333333333333","","2015-01-02","","914.399998610112","","","","","0.333333333333333","0.76199999884176","","","","","","","","0.213445377826824","0.32","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Easy bike inside to spin legs out for race","0.583333333333333","","2015-01-03","","12956.97","185","341","366.365","","0.551430555555556","6.53073084677419","","95","","","","","","0.695170289645659","26.26","","","","","","","","","","","3","28","0","1","1","0","","","","","",""
"","Bike","","","","2015-01-04","","20116.806223657","","","","","0.5","11.1760034575872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2015-01-04","","5230.36961815083","","","","","0.333333333333333","4.35864134845903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Race","Indoor Tri @ Life Time Fitness in Fairfax","1","","2015-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","","","","2015-01-04","","754.379998853343","","","","","0.166666666666667","1.2572999980889","","","","","","","","0.352184873414259","0.73","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Ride outside on trail","1.5","","2015-01-04","","48943.05859375","199","537","1172.718","","1.64125001430511","8.28400039672852","","107","","","","","","0.771824913461631","97.39","","","","","","","","","","","20","35","23","12","5","3","","","","","",""
"","Bike","Recovery trainer ride","0.75","","2015-01-05","","17842.84","180","222","495.397","","0.7579375","6.4812350163458","","98","","","","","","0.657734291137639","32.47","","","","","","","","","","","2","43","0","0","0","0","","","","","",""
"","Run","Easy run to get Sara in snow","0.416666666666667","","2015-01-06","","3862.42679494215","","","","","0.363611111111111","2.95066982042945","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75': 2x(15' AeT + 10' High AeT) + 6x(3' High AeT + 1' Tempo)","Bike","Today we'll be doing a mixture of things. The workout is focused on your base. The final part will be challenging! Probably more mentally than physically. The entire workout should be done at 90-100 rpm . 10' Progressive WU . 2 x (15' AeT + 10' High AeT + 5' AR) . 6 x (3' High AeT + 1' tempo + 1' AR) . 5' CD","1.25","","2015-01-07","","37014.923451529","190","338","914.303","","1.33671527777778","7.69193212040895","","101","","","","","","0.708391533240628","66.85","","","","","","","","","","","10","54","15","0","1","0","","","","","",""
"","Day Off","Rest","","","2015-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Run in snow at Lake Fairfax with Titus & Alex","1","","2015-01-09","","11426.3459350372","","","","","0.975","3.25536921226131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","AeT Trainer Ride","0.833333333333333","","2015-01-09","","24140.1674683884","204","250","613.861","","0.835388888888889","8.02692274668765","","100","","","","","","0.750828347572699","46.57","","","","","","","","","","","2","23","25","0","0","0","","","","","",""
"","Swim","Masters","1.25","","2015-01-10","","3657.59999444045","","","","","1.25","0.812799998764544","","","","","","","","0.227675069681945","1.48","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Today is a base style workout but we'll be doing it using lots of simulated climbs. We'll be going uphill and following it up with lots of high cadence work (aka going downhill). Don't be shocked by some short punchy efforts at the end. Ride between 90-100 rpm unless specifically called out. . WU 5' AR->AeT 5' AeT 5' High AeT . 5' tempo @ 65-75 rpm 2' high AeT @ 100-110 rpm 3' AR . Perform Mainset 2 times...try to add 5-10 watts each time through so start on the low side of the zone 8' LT @ 65-75 rpm 2' AeC @ 65-75 rpm 5' AR->AeT @ 100-110 rpm . Punchy efforts...can you increase the watts on each round during the AnC? 5 x (30"" LT + 30"" AnC + 2' AR) . 5' CD","1.25","","2015-01-11","","40233.6124473141","","","","","1.25","8.9408027660698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","Transition run","0.25","","2015-01-11","","3379.62344557438","","","","","0.241666666666667","3.8846246500855","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Easy spin shakeout","0.583333333333333","","2015-01-11","","13101.75","193","242","380.729","","0.545195","6.63044028340081","","98","","130","142","","","0.704408826894358","26.38","1","32","0","0","0","","","","","","1","29","2","0","0","0","","","","","",""
"47': 30' High AeT + 4x30"" AeC","Bike","Spin at 90-100 rpm with extended time at aerobic endurance and then a few efforts at the end to shake the legs out . 10' WU . 30' high AeT . 4 x (30"" AeC + 30"" AR) . 3' CD","0.766666666666667","","2015-01-12","","19344.88","204","378","564.73","","0.767715277777778","7.00140427072023","","98","","131","155","","","0.762431753524736","44.06","3","39","4","0","0","","","","","","3","29","12","0","1","1","","","","","",""
"","Run","AeT Run on WOD","0.666666666666667","","2015-01-13","","9334.19808777687","","","","","0.666666666666667","3.88924920324036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Swim","Masters mainset 14x100 (4 on 1:15 + 3 on 1:30, repeat) + 1000 Pull","1","","2015-01-13","","2743.19999583034","","","","","0.916666666666667","0.831272726009193","","","","","","","","0.232849503083808","1.16","","","","","","","","","","","","","","","","","","","","","",""
"","Day Off","Rest","","","2015-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","Get something in with new Vectors","1.16666666666667","","2015-01-15","","35405.5789536364","193","338","859.722","","1.16911861111111","8.41222006835548","","98","","134","161","","","0.72214165647738","60.44","4","51","19","0","0","","","","","","3","54","15","3","0","0","","","","","",""
"","Run","Run to and fro W-L pool","0.5","","2015-01-16","","6759.24689114877","","","","","0.509722222222222","3.68351329217916","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
