"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"","Day Off","Rest or optional swim","","","2016-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Openers","Bike","Openers...loosen the legs and get them ready to fire! Ride between 90-100 rpm. . 10' WU . 2 x (1' @ perceived race pace + 4' Recovery)","0.833333333333333","","2016-01-02","","0","193","339","579.594","","0.834291653103299","0","","97","","145","165","","","0.716811263777901","42.48","1","17","30","2","0","","","","","","3","35","10","1","1","0","","","","","",""
"","Swim","","","","2016-01-03","","585.280029296875","","","","","0.168197779125637","0.967403408088375","","24","","","","","","0.270752659705625","0.33","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-01-03","","0","","","","","0.198506384955512","0","","","","119","144","","","0.614206405500851","7.96","4","8","0","0","0","","","","","","","","","","","","","","","","",""
"","Bike","","","","2016-01-03","","11048.6201171875","","","","","0.811176961263021","3.78299999237061","","","","133","156","","","0.639357547607332","36.54","2","37","10","0","0","","","","","","","","","","","","","","","","",""
"2400: 2x(2x200 tempo + 100 Pull + 300 paddles)","Swim","One key to successful open water swimming is training for variable intensities that you will experience throughout the race. In this workout really focus on the specified increased pace on the sets of 200’s. Can you swim faster on the 2nd round of 200s? . 6 x 100 Free :15 12 x 50 (odds catch-up drill/evens pull) :15 . Main Set: 2 x 200 (1st 100 hard/2nd 100 relaxed) :30 100 Pull Easy :15 300 Pull with Paddles 1:00 . 2 x 200 (1st 100 relaxed/2nd 100 fast) :30 100 Pull Easy :15 300 Pull with Paddles 1:00 . 100 CD","0.75","","2016-01-05","","2743.20007324219","","","","","0.67928333706326","1.11961409118789","","21","","","","","","0.314221433390287","2.11","","","","","","","","","","","","","","","","","","","","","",""
"30': Gradually build 10' to shakeout body","Run","Start of easy and then after 15', slightly build the pace over the next 10'. Don't overtax your body, just get the HR up a little. Shut it down for the last 5'","0.5","","2016-01-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2700yds: broken 1650 + 12x50","Swim","Today we're going to have only a few quick sets. Everything else is easy and focus on your form! . Broken 1650 with lots of different stuff..details are below: 400 Pull :45 300 (50 swim + 25 OWS, repeat) :45 100 Smooth to setup fast swim :20 300 STRONG (I want a time) :20 100 easy :30 3 x 150 :20 1. 100 Free + 50 choice 2. 25 drill, 25 kick, 25 swim, repeat 3. Build each 50 . 400 Pull breathe every 3 1:00 . 12 x 50 :10 1. Drill (mix them up) 2. Kick + Swim 3. Build 4. Easy & Smooth Repeat.... . 150 CD","1","","2016-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45': Mixed - with medicine ball squats, leg raises & swiss ball bridges","Strength","Warm-up: 5-10' on elliptical, spin bike, easy jog, rowing machine, or jumping rope...get the blood moving . Repeat this circuit 3 times... 10 x push-ups 1' plank 10 x swiss ball bridges 5 x chin-ups (or as many as you can do up to 5) 1' rest . 3 x 12 reps lat pull down (light weight) 3 x 12 reps shoulder raises (light weight) 3 x 12 reps bicep curls (light weight)  3 x 10 reps medicine ball overhead squat (light weight) 3 x 10 reps medicine ball leg raises 1' plank .","0.75","","2016-01-08","Swiss Ball Bridge (video) https://www.youtube.com/watch?v=QWlEW8PA4iw Medicine Ball Overhead Squat (video) https://www.youtube.com/watch?v=F70iX803-CM Medicine Ball Leg Raises (video) https://www.youtube.com/watch?v=4zWYlhOYvMM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","","","2016-01-08","","3232.6201171875","","","","","0.271361660427517","3.30900001525879","","77","","143","155","","","0.926572263928113","24.98","8","8","0","0","0","0","0","","","","","","","","","","","","","","",""
